title,soldprice,solddate,bids,link
SONY A7 Frame Mirrorless Camera + 3 Batteries,333.33,Sold  20 Nov 2020,6 bids,https://www.ebay.co.uk/itm/SONY-A7-Frame-Mirrorless-Camera-3-Batteries/133575200837?hash=item1f19b3d045%3Ag%3AvDEAAOSwyCpfrl3w&LH_Auction=1
sony a7 iii 16-35mm 24mm 50mm,2110.0,Sold  19 Nov 2020,22 bids,https://www.ebay.co.uk/itm/sony-a7-iii-16-35mm-24mm-50mm/224232058774?hash=item343545af96%3Ag%3AadsAAOSwwVZfrYmN&LH_Auction=1
Sony a7r ii body,950.0,Sold  19 Nov 2020,31 bids,https://www.ebay.co.uk/itm/Sony-a7r-ii-body/324376705073?hash=item4b865bb831%3Ag%3AEFgAAOSwkUJfss3Z&LH_Auction=1
"Sony A7rii Body Only A7r II Mark 2 Only 750 pics+4 Batteries, 2 Chargers L Plate",900.0,Sold  19 Nov 2020,5 bids,https://www.ebay.co.uk/itm/Sony-A7rii-Body-Only-A7r-II-Mark-2-Only-750-pics-4-Batteries-2-Chargers-L-Plate/224231948351?hash=item343544003f%3Ag%3AUTAAAOSw5wRfrWxF&LH_Auction=1
Sony Alpha A7 III 24.0MP Digital Mirrorless Camera (Body Only),1320.0,Sold  18 Nov 2020,33 bids,https://www.ebay.co.uk/itm/Sony-Alpha-A7-III-24-0MP-Digital-Mirrorless-Camera-Body-Only/133573519868?epid=25031179622&hash=item1f199a29fc%3Ag%3A-JgAAOSwA%7EJfrAbR&LH_Auction=1
Sony A7 ILCE-7K 35mm Full-Frame E-mount Lens,485.0,Sold  17 Nov 2020,8 bids,https://www.ebay.co.uk/itm/Sony-A7-ILCE-7K-35mm-Full-Frame-E-mount-Lens/313300561017?hash=item48f22b2c79%3Ag%3AlmwAAOSw27xfsBmF&LH_Auction=1
Pristine Sony Alpha A7 II Camera + 28-70mm  Lens - Shutter count less that 1000,701.0,Sold  17 Nov 2020,1 bid,https://www.ebay.co.uk/itm/Pristine-Sony-Alpha-A7-II-Camera-28-70mm-Lens-Shutter-count-less-that-1000/254781200870?hash=item3b522499e6%3Ag%3APCwAAOSwf8Nfs%7E%7E7&LH_Auction=1
"Sony A7S Mark II 2 - Body, boxed with 6 batteries",1000.0,Sold  17 Nov 2020,4 bids,https://www.ebay.co.uk/itm/Sony-A7S-Mark-II-2-Body-boxed-with-6-batteries/284082851625?hash=item4224a84f29%3Ag%3ArYEAAOSwnrNfskuQ&LH_Auction=1
sony a7s ii,770.0,Sold  16 Nov 2020,11 bids,https://www.ebay.co.uk/itm/sony-a7s-ii/184528390023?hash=item2af6bfc787%3Ag%3AGDEAAOSw6qdfqUI3&LH_Auction=1
"sony alpha a7s ii digital camera, with tilta cage, hand grip, 2x batteries, box",1260.0,Sold  15 Nov 2020,39 bids,https://www.ebay.co.uk/itm/sony-alpha-a7s-ii-digital-camera-with-tilta-cage-hand-grip-2x-batteries-box/184514356181?hash=item2af5e9a3d5%3Ag%3AGGoAAOSwlWdfgwd9&LH_Auction=1
Sony Alpha A7 II 24.3MP Digital Camera - battery grip and many extras. Low SC,550.0,Sold  15 Nov 2020,20 bids,https://www.ebay.co.uk/itm/Sony-Alpha-A7-II-24-3MP-Digital-Camera-battery-grip-and-many-extras-Low-SC/174516140415?epid=14027883825&hash=item28a1f8f97f%3Ag%3A2pYAAOSwS15fpvVp&LH_Auction=1
Sony A7 Kit + Extra's **178 Shutter Count / Excellent Condition**,645.0,Sold  15 Nov 2020,11 bids,https://www.ebay.co.uk/itm/Sony-A7-Kit-Extras-178-Shutter-Count-Excellent-Condition/353268916087?hash=item524077df77%3Ag%3AMxwAAOSwIEJfjZ0n&LH_Auction=1
Sony Alpha A7S 12.2MP Digital Camera - Black (Body Only),609.0,Sold  15 Nov 2020,5 bids,https://www.ebay.co.uk/itm/Sony-Alpha-A7S-12-2MP-Digital-Camera-Black-Body-Only/303758928076?epid=12027869768&hash=item46b97168cc%3Ag%3A0wcAAOSwk4JfqEas&LH_Auction=1
